data;total_multas;total_acidentes
2007-01-01;;420
2007-01-02;;515
2007-01-03;;366
2007-01-04;;314
2007-01-05;;357
2007-01-06;;333
2007-01-07;;309
2007-01-08;;283
2007-01-09;;283
2007-01-10;;247
2007-01-11;;285
2007-01-12;;364
2007-01-13;;395
2007-01-14;;341
2007-01-15;;309
2007-01-16;;310
2007-01-17;;260
2007-01-18;;278
2007-01-19;;321
2007-01-20;;375
2007-01-21;;387
2007-01-22;;333
2007-01-23;;269
2007-01-24;;281
2007-01-25;;306
2007-01-26;;388
2007-01-27;;387
2007-01-28;;412
2007-01-29;;365
2007-01-30;;324
2007-01-31;;285
2007-02-01;;310
2007-02-02;;335
2007-02-03;;411
2007-02-04;;357
2007-02-05;;298
2007-02-06;;329
2007-02-07;;309
2007-02-08;;344
2007-02-09;;358
2007-02-10;;387
2007-02-11;;410
2007-02-12;;353
2007-02-13;;289
2007-02-14;;330
2007-02-15;;316
2007-02-16;;530
2007-02-17;;599
2007-02-18;;350
2007-02-19;;265
2007-02-20;;312
2007-02-21;;373
2007-02-22;;284
2007-02-23;;287
2007-02-24;;283
2007-02-25;;301
2007-02-26;;294
2007-02-27;;292
2007-02-28;;303
2007-03-01;;290
2007-03-02;;349
2007-03-03;;324
2007-03-04;;324
2007-03-05;;286
2007-03-06;;263
2007-03-07;;280
2007-03-08;;295
2007-03-09;;360
2007-03-10;;343
2007-03-11;;384
2007-03-12;;312
2007-03-13;;286
2007-03-14;;282
2007-03-15;;303
2007-03-16;;379
2007-03-17;;403
2007-03-18;;375
2007-03-19;;290
2007-03-20;;286
2007-03-21;;308
2007-03-22;;299
2007-03-23;;332
2007-03-24;;346
2007-03-25;;337
2007-03-26;;247
2007-03-27;;245
2007-03-28;;299
2007-03-29;;268
2007-03-30;;341
2007-03-31;;391
2007-04-01;;340
2007-04-02;;261
2007-04-03;;316
2007-04-04;;347
2007-04-05;;546
2007-04-06;;332
2007-04-07;;287
2007-04-08;;645
2007-04-09;;388
2007-04-10;;254
2007-04-11;;255
2007-04-12;;310
2007-04-13;;367
2007-04-14;;362
2007-04-15;;319
2007-04-16;;287
2007-04-17;;266
2007-04-18;;291
2007-04-19;;319
2007-04-20;;375
2007-04-21;;417
2007-04-22;;391
2007-04-23;;290
2007-04-24;;315
2007-04-25;;308
2007-04-26;;313
2007-04-27;;419
2007-04-28;;431
2007-04-29;;340
2007-04-30;;277
2007-05-01;;300
2007-05-02;;275
2007-05-03;;268
2007-05-04;;357
2007-05-05;;347
2007-05-06;;352
2007-05-07;;319
2007-05-08;;312
2007-05-09;;307
2007-05-10;;305
2007-05-11;;349
2007-05-12;;388
2007-05-13;;457
2007-05-14;;322
2007-05-15;;270
2007-05-16;;310
2007-05-17;;288
2007-05-18;;346
2007-05-19;;418
2007-05-20;;363
2007-05-21;;287
2007-05-22;;293
2007-05-23;;333
2007-05-24;;281
2007-05-25;;353
2007-05-26;;361
2007-05-27;;404
2007-05-28;;283
2007-05-29;;284
2007-05-30;;283
2007-05-31;;305
2007-06-01;;434
2007-06-02;;402
2007-06-03;;407
2007-06-04;;282
2007-06-05;;326
2007-06-06;;370
2007-06-07;;367
2007-06-08;;319
2007-06-09;;333
2007-06-10;;393
2007-06-11;;315
2007-06-12;;259
2007-06-13;;270
2007-06-14;;281
2007-06-15;;411
2007-06-16;;358
2007-06-17;;317
2007-06-18;;276
2007-06-19;;283
2007-06-20;;317
2007-06-21;;335
2007-06-22;;420
2007-06-23;;379
2007-06-24;;392
2007-06-25;;367
2007-06-26;;275
2007-06-27;;306
2007-06-28;;332
2007-06-29;;414
2007-06-30;;388
2007-07-01;;322
2007-07-02;;325
2007-07-03;;275
2007-07-04;;273
2007-07-05;;294
2007-07-06;;424
2007-07-07;;459
2007-07-08;;437
2007-07-09;;348
2007-07-10;;309
2007-07-11;;337
2007-07-12;;346
2007-07-13;;376
2007-07-14;;394
2007-07-15;;434
2007-07-16;;390
2007-07-17;;326
2007-07-18;;291
2007-07-19;;311
2007-07-20;;404
2007-07-21;;344
2007-07-22;;436
2007-07-23;;321
2007-07-24;;349
2007-07-25;;314
2007-07-26;;285
2007-07-27;;471
2007-07-28;;424
2007-07-29;;409
2007-07-30;;301
2007-07-31;;278
2007-08-01;;308
2007-08-02;;311
2007-08-03;;354
2007-08-04;;409
2007-08-05;;364
2007-08-06;;296
2007-08-07;;308
2007-08-08;;301
2007-08-09;;304
2007-08-10;;394
2007-08-11;;410
2007-08-12;;437
2007-08-13;;280
2007-08-14;;275
2007-08-15;;293
2007-08-16;;287
2007-08-17;;351
2007-08-18;;363
2007-08-19;;412
2007-08-20;;312
2007-08-21;;280
2007-08-22;;268
2007-08-23;;291
2007-08-24;;315
2007-08-25;;368
2007-08-26;;344
2007-08-27;;261
2007-08-28;;306
2007-08-29;;300
2007-08-30;;291
2007-08-31;;402
2007-09-01;;356
2007-09-02;;324
2007-09-03;;311
2007-09-04;;294
2007-09-05;;331
2007-09-06;;487
2007-09-07;;504
2007-09-08;;349
2007-09-09;;480
2007-09-10;;335
2007-09-11;;284
2007-09-12;;248
2007-09-13;;270
2007-09-14;;328
2007-09-15;;368
2007-09-16;;359
2007-09-17;;355
2007-09-18;;301
2007-09-19;;282
2007-09-20;;358
2007-09-21;;432
2007-09-22;;371
2007-09-23;;392
2007-09-24;;306
2007-09-25;;265
2007-09-26;;303
2007-09-27;;291
2007-09-28;;389
2007-09-29;;402
2007-09-30;;376
2007-10-01;;292
2007-10-02;;278
2007-10-03;;286
2007-10-04;;316
2007-10-05;;347
2007-10-06;;433
2007-10-07;;382
2007-10-08;;353
2007-10-09;;310
2007-10-10;;356
2007-10-11;;446
2007-10-12;;466
2007-10-13;;282
2007-10-14;;468
2007-10-15;;423
2007-10-16;;287
2007-10-17;;295
2007-10-18;;296
2007-10-19;;446
2007-10-20;;364
2007-10-21;;360
2007-10-22;;371
2007-10-23;;315
2007-10-24;;381
2007-10-25;;342
2007-10-26;;408
2007-10-27;;400
2007-10-28;;358
2007-10-29;;321
2007-10-30;;309
2007-10-31;;345
2007-11-01;;482
2007-11-02;;447
2007-11-03;;332
2007-11-04;;461
2007-11-05;;338
2007-11-06;;319
2007-11-07;;292
2007-11-08;;357
2007-11-09;;402
2007-11-10;;412
2007-11-11;;360
2007-11-12;;362
2007-11-13;;328
2007-11-14;;418
